Phase,Phase
ID,Record ID
RID,Participant roster ID
SITEID,Site ID
VISCODE,Visit code
VISCODE2,Translated visit code
USERDATE,Date record created
USERDATE2,Date record last updated
EXAMDATE,Examination Date
GDSOURCE,Information Source: 1=Participant Visit;2=Telephone Call
GDUNABL,1=Participant is unable to complete the GDS(Geriatric DEpression Scale) based on the clinician's best judgement.
GDUNABSP,"If unable, explain:"
GDSATIS,Life satisfaction:1=Yes(0); 0=No(1)
GDDROP,2. Have you dropped many of your activities and interests? 1=Yes(1); 0=No(0)
GDEMPTY,3. Do you feel that your life is empty? 1=Yes(1); 0=No(0)
GDBORED,4. Do you often get bored? 1=Yes
GDSPIRIT,5. Are you in good spirits most of the time? 1=Yes
GDAFRAID,6. Are you afraid that something bad is going to happen to you?1=Yes
GDHAPPY,7. Do you feel happy most of the time?1=Yes(0)
GDHELP,8. Do you often feel helpless?1=Yes(1)
GDHOME,"9. Do you prefer to stay at home, rather than going out and doing new things?1=Yes(1)"
GDMEMORY,10. Do you feel you have more problems with memory than most?1=Yes(1)
GDALIVE,11. Do you think its wonderful to be alive now?1=Yes(1)
GDWORTH,12. Do you feel pretty worthless the way you are now?1=Yes(1)
GDENERGY,13. Do you feel full of energy?1=Yes(0)
GDHOPE,14. Do you feel that your situation is hopeless?1=Yes(1)
GDBETTER,15. Do you think that most people are better off than you are?1=Yes(1)
GDTOTAL,Total Score
update_stamp,update stamp
