Phase,Phase
ID,Record ID
RID,Participant roster ID
SITEID,Site ID
VISCODE,Visit code
VISCODE2,Translated visit code
"USERDATE",Date record created #In Navjot's presentation is this used to calculate patient's age?
"USERDATE2",Date record last updated
"TRAILS",Trails; 1=Correct; 0=Incorrect #Meaning?
"CUBE",Copy Cube; 1=Correct; 0=Incorrect(ADNI2&3)
"CLOCKCON",Draw Clock - Contour; 1=Correct; 0=Incorrect
"CLOCKNO",Draw Clock - Number; 1=Correct; 0=Incorrect
"CLOCKHAN",	Draw Clock - Hands; 1=Correct; 0=Incorrect
"LION",Lion	1=Correct; 0=Incorrect
"RHINO",Rhino 1=Correct; 0=Incorrect
"CAMEL",Camel 1=Correct; 0=Incorrect
"IMMT1W1",Immediate (#1): Face; 0=Incorrect;1=Correct
"IMMT1W2",Immediate (#1): Velvet; 0=Incorrect;1=Correct
"IMMT1W3",Immediate (#1): Church; 0=Incorrect;1=Correct
"IMMT1W4",Immediate (#1): Daisy; 0=Incorrect;1=Correct
"IMMT1W5",Immediate (#1): Red; 0=Incorrect;1=Correct
"IMMT2W1",Immediate (#1): Face; 0=Incorrect;1=Correct
"IMMT2W2",Immediate (#1): Velvet; 0=Incorrect;1=Correct
"IMMT2W3",Immediate (#1): Church; 0=Incorrect;1=Correct
"IMMT2W4",Immediate (#1): Daisy; 0=Incorrect;1=Correct
"IMMT2W5",Immediate (#1): Red; 0=Incorrect;1=Correct
"DIGFOR",Digits Forward; 1=Correct; 0=Incorrect
"DIGBACK",Digits Backward; 1=Correct; 0=Incorrect
"LETTERS",List of Letters/Tapping: # Errors; 0-29
"SERIAL1",Serial 7: 1st Subtraction; 1=Correct; 0=Incorrect
"SERIAL2",Serial 7: 2nd Subtraction; 1=Correct; 0=Incorrect
"SERIAL3",Serial 7: 3rd Subtraction; 1=Correct; 0=Incorrect
"SERIAL4",Serial 7: 4th Subtraction; 1=Correct; 0=Incorrect
"SERIAL5",Serial 7: 5th Subtraction; 1=Correct; 0=Incorrect
"REPEAT1",Repeat Sentence: I only know that John is the one to help today. 1=Correct; 0=Incorrect
"REPEAT2",Repeat Sentence: The cat always hid under the couch when dogs were in the room. 1=Correct; 0=Incorrect
"FFLUENCY",Letter Fluency - F: Total number of correct words; 0-99
"ABSTRAN",Abstraction: train-bicycle; 1=Correct; 0=Incorrect
"ABSMEAS",Abstraction: watch-ruler; 1=Correct; 0=Incorrect
"DELW1",Delayed: Face; 1=Correct with No Cue; 2=Correct with Category Cue; 3=Correct with Mult. Choice Cue; 0=Incorrect
"DELW2",Delayed: Velvet; 1=Correct with No Cue; 2=Correct with Category Cue; 3=Correct with Mult. Choice Cue; 0=Incorrect
"DELW3",Delayed: Church; 1=Correct with No Cue; 2=Correct with Category Cue; 3=Correct with Mult. Choice Cue; 0=Incorrect
"DELW4",Delayed: Daisy; 1=Correct with No Cue; 2=Correct with Category Cue; 3=Correct with Mult. Choice Cue; 0=Incorrect
"DELW5",Delayed: Red; 1=Correct with No Cue; 2=Correct with Category Cue; 3=Correct with Mult. Choice Cue; 0=Incorrect
"DATE", Date; 0=Incorrect;1=Correct
"MONTH", Month; 0=Incorrect;1=Correct (ADNI3)
"YEAR", Year; ; 0=Incorrect;1=Correct
"DAY", Day; 0=Incorrect;1=Correct
"PLACE", Place; 0=Incorrect;1=Correct
"CITY", City; 0=Incorrect;1=Correct
"MOCA", Montreal Cognitive Assessment Test
"update_stamp", update stamp
